Team ,Winning Percentage ,Conference ,Rushing Yards (Defense) ,Representation in press top 25 ,Championship History ,Fumbles lost ,Net Punting,Completion Percentage ,Average Team Sacks 
Air Force,0.143,MOUNTAIN WEST ,1356,no ,no,4,38.34,0.416,0.71
Akron,0.143,MAC ,1362,no ,no,5,40.76,0.62,1.71
Florida St.,0.143,ACC,1204,no ,no,4,46.34,0.522,2.43
Massachusetts,0.143,FBS INDEPENDENT ,1202,no ,no,5,35.35,0.578,0.86
Mississippi St.,0.143,SEC ,1346,no ,no,4,42.42,0.6,0.71
Purdue,0.143,BIG 10 ,1504,no ,no,5,41.35,0.625,2.29
Southern Miss.,0.143,SUN BELT ,1607,no ,no,10,39,0.573,1.71
Troy,0.143,SUN BELT ,1251,no ,no,3,35.91,0.615,1.43
UAB,0.143,AAC ,1703,no ,no,4,35.04,0.626,1.57
UTEP,0.143,CUSA ,1498,no ,no,4,35.32,0.612,2.43
Utah St.,0.143,MOUNTAIN WEST ,1676,no ,no,3,39.85,0.633,1.71
Wyoming,0.143,MOUNTAIN WEST ,1204,no ,no,5,38.84,0.485,1
Kent St.,0,MAC ,1758,no ,no,4,36.93,0.46,1.71
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
